sectionid{}uid{}datetime{}type{}sid
1003541{}347759{}20110701 000000{}d{}36169946
1001056{}346045{}20110701 001039{}v{}361538
1003037{}347205{}20110701 001101{}d{}36107287
1002326{}346935{}20110701 001106{}v{}361538
1003937{}347954{}20110701 001113{}d{}36122108
1008070{}350964{}20110701 001131{}d{}36211696
1009618{}352241{}20110701 001133{}d{}36280292
1007626{}350579{}20110701 001139{}d{}36184688
1000820{}345860{}20110701 001141{}d{}36172760
1002049{}346049{}20110701 001146{}v{}361538
1009423{}352079{}20110701 001152{}d{}36227896
1006701{}349897{}20110701 001154{}d{}36186610
1007045{}350067{}20110701 001158{}d{}36194642
1001730{}346326{}20110701 001207{}v{}361538
1003938{}347205{}20110701 001207{}d{}36122110
1002050{}346046{}20110701 001209{}v{}361538
1009744{}352348{}20110701 001216{}d{}36280292
1001396{}346325{}20110701 001223{}v{}361538
1001397{}346326{}20110701 001224{}v{}361538
1007082{}350175{}20110701 001228{}d{}36184138
1007123{}350210{}20110701 001235{}d{}36184138
1010535{}352992{}20110701 001247{}d{}36233221
1004594{}348335{}20110701 001309{}d{}36192458
1001057{}346046{}20110701 001323{}v{}361538
1008961{}351693{}20110701 001328{}d{}36270987
1009391{}352053{}20110701 001334{}d{}36227896
1000533{}345659{}20110701 001342{}v{}361
1005546{}349013{}20110701 001342{}d{}36151536
1003324{}347613{}20110701 001408{}d{}36109266
1003581{}347796{}20110701 001420{}d{}36122109
1004505{}348232{}20110701 001422{}d{}36198247
1011017{}353383{}20110701 001431{}d{}36221868
1005224{}348787{}20110701 001434{}d{}36192713
1010210{}352716{}20110701 001438{}d{}36233926
1009637{}352255{}20110701 001442{}d{}36280292
1007899{}350820{}20110701 001449{}d{}36211696
1008044{}350941{}20110701 001451{}d{}36211695
1001058{}346047{}20110701 001454{}v{}361538
1004455{}348232{}20110701 001455{}d{}36198247
1005391{}348890{}20110701 001458{}d{}36123038
1008573{}351396{}20110701 001509{}v{}362513
1001060{}346048{}20110701 001518{}v{}361538
1007664{}350612{}20110701 001524{}v{}362337
1005234{}348791{}20110701 001525{}d{}36192715
1008950{}351687{}20110701 001532{}d{}36270987
1005838{}349229{}20110701 001554{}d{}36176374
1000795{}345841{}20110701 001619{}d{}36172758
1001031{}346024{}20110701 001633{}d{}36175145
1004712{}348419{}20110701 001635{}d{}36192457
1003292{}347588{}20110701 001638{}d{}36167576
1007349{}350375{}20110701 001640{}d{}36173856
1002327{}346936{}20110701 001644{}v{}361538
1004635{}348366{}20110701 001644{}d{}36192458
1007610{}350566{}20110701 001644{}d{}36172283
1006435{}349682{}20110701 001703{}d{}36194267
1003939{}347955{}20110701 001705{}d{}36122108
1007324{}350375{}20110701 001705{}d{}36173856
1002051{}346489{}20110701 001708{}v{}361538
1004674{}348366{}20110701 001718{}d{}36192458
1005950{}349305{}20110701 001728{}d{}36131360
1010236{}352739{}20110701 001731{}d{}36234161
1003471{}347710{}20110701 001735{}d{}36197491
1010426{}352900{}20110701 001742{}d{}36233221
1009084{}351791{}20110701 001747{}d{}36208474
1001398{}346049{}20110701 001750{}v{}361538
1008860{}351625{}20110701 001752{}d{}36271003
1005472{}348950{}20110701 001804{}d{}36151535
1009673{}352285{}20110701 001843{}d{}36280293
1007991{}350898{}20110701 001901{}d{}36211695
1006466{}349711{}20110701 001908{}d{}36194267
1003688{}347846{}20110701 001911{}d{}36122109
1010702{}353130{}20110701 001914{}d{}36204681
1004636{}348367{}20110701 001927{}d{}36192457
1007737{}350676{}20110701 001928{}d{}36211694
1009591{}352211{}20110701 001928{}d{}36280294
1009743{}352211{}20110701 001931{}d{}36280294
1003417{}347671{}20110701 001935{}d{}36198106
1005612{}349056{}20110701 001936{}d{}36151535
1000360{}345567{}20110701 001937{}v{}361595
1007627{}350580{}20110701 001937{}d{}36184688
1004813{}348483{}20110701 001943{}d{}36198096
1007306{}350359{}20110701 001943{}d{}36132823
1004205{}348090{}20110701 001951{}d{}36109870
1010977{}353353{}20110701 002012{}d{}36207983
1009584{}352211{}20110701 002023{}d{}36280294
1004456{}348233{}20110701 002024{}d{}36178949
1009297{}351972{}20110701 002027{}d{}36227757
1005777{}349177{}20110701 002039{}d{}36183808
1004096{}348029{}20110701 002044{}d{}36109066
1001731{}346567{}20110701 002057{}v{}361538
1003293{}347588{}20110701 002101{}d{}36167576
1001061{}346049{}20110701 002113{}v{}361538
1007528{}350513{}20110701 002115{}d{}36195778
1007776{}350712{}20110701 002117{}d{}36211694
1007747{}350686{}20110701 002119{}d{}36211694
1004912{}348556{}20110701 002129{}d{}36131397
1010197{}352706{}20110701 002149{}d{}36233926
1011227{}353570{}20110701 002212{}d{}36227691
1007529{}350485{}20110701 002221{}d{}36195778
1000534{}345645{}20110701 002226{}v{}361
1000502{}345645{}20110701 002231{}v{}361
1010231{}352735{}20110701 002244{}d{}36242314
1004918{}348562{}20110701 002247{}d{}36177743
1009465{}352115{}20110701 002250{}d{}36227895
1005816{}349212{}20110701 002252{}d{}36176376
1007484{}350485{}20110701 002313{}d{}36195779
1005585{}349040{}20110701 002320{}d{}36151536
1002328{}346937{}20110701 002331{}v{}361538
1000432{}345612{}20110701 002351{}d{}36151089
1005152{}348726{}20110701 002407{}d{}36175686
1008697{}351490{}20110701 002414{}d{}36271993
1006106{}349420{}20110701 002416{}d{}36132203
1003410{}347664{}20110701 002434{}d{}36136736
1003436{}347686{}20110701 002434{}d{}36133419
1005738{}349148{}20110701 002437{}d{}36176469
1010227{}352731{}20110701 002438{}d{}36242313
1009662{}352275{}20110701 002449{}d{}36280292
1004259{}348116{}20110701 002510{}d{}36109868
1003480{}347718{}20110701 002516{}d{}36197489
1003481{}347718{}20110701 002548{}d{}36197489
1009761{}352361{}20110701 002548{}d{}36280293
1009505{}352115{}20110701 002556{}d{}36227895
1007174{}350253{}20110701 002611{}d{}36184139
1008455{}351301{}20110701 002611{}d{}36233232
1009140{}351838{}20110701 002623{}d{}36279427
1006058{}349386{}20110701 002625{}d{}36123739
1009566{}352196{}20110701 002641{}d{}36280292
1003131{}347206{}20110701 002700{}d{}36107285
1008315{}351181{}20110701 002724{}d{}36212120
1009896{}352475{}20110701 002724{}d{}36272023
1011188{}353536{}20110701 002732{}d{}36227690
1009742{}352347{}20110701 002734{}d{}36280293
1007124{}350211{}20110701 002747{}d{}36184139
1010090{}352626{}20110701 002808{}d{}36272959
1010245{}352739{}20110701 002825{}d{}36247494
1000589{}345676{}20110701 002827{}v{}361345
1009253{}351935{}20110701 002839{}d{}36208192
1002052{}346050{}20110701 002851{}v{}361538
1007125{}350212{}20110701 002857{}d{}36184139
1011150{}353504{}20110701 002858{}d{}36254243
1002329{}346050{}20110701 002904{}v{}361538
1006161{}349466{}20110701 002934{}d{}36184334
1007175{}350254{}20110701 002941{}d{}36184137
1003461{}347702{}20110701 002947{}d{}36197489
1005852{}349212{}20110701 002949{}d{}36176376
1004637{}348368{}20110701 003003{}d{}36192458
1009121{}351820{}20110701 003010{}d{}36279428
1001062{}346050{}20110701 003023{}v{}361538
1009913{}352489{}20110701 003033{}d{}36272047
1005443{}348925{}20110701 003040{}d{}36199706
1005458{}348925{}20110701 003044{}d{}36199706
1003482{}347702{}20110701 003058{}d{}36197490
1008409{}351265{}20110701 003058{}d{}36233249
1003270{}347569{}20110701 003121{}d{}36124199
1011213{}353560{}20110701 003141{}d{}36243877
1001063{}346051{}20110701 003152{}v{}361538
1009535{}352072{}20110701 003155{}d{}36280300
1010822{}353228{}20110701 003157{}d{}36233240
1003582{}347308{}20110701 003201{}d{}36122108
1007485{}350486{}20110701 003204{}d{}36195778
1000718{}345776{}20110701 003213{}d{}36172759
1003408{}347664{}20110701 003221{}d{}36136737
1004814{}348484{}20110701 003222{}d{}36198098
1002920{}347308{}20110701 003228{}d{}36107285
1000535{}345613{}20110701 003248{}v{}361
1000433{}345613{}20110701 003250{}v{}361
1006703{}349898{}20110701 003253{}d{}36186597
1010780{}353196{}20110701 003301{}d{}36223047
1004778{}348456{}20110701 003317{}d{}36198097
1001064{}346052{}20110701 003324{}v{}361538
1009853{}352440{}20110701 003326{}d{}36272957
1002330{}346938{}20110701 003330{}v{}361538
1009415{}352072{}20110701 003350{}d{}36243940
1004675{}348396{}20110701 003351{}d{}36192457
1004676{}348397{}20110701 003359{}d{}36192458
1010123{}352586{}20110701 003421{}d{}36272024
1011105{}353464{}20110701 003426{}d{}36227686
1008708{}351501{}20110701 003429{}d{}36204737
1010126{}352475{}20110701 003434{}d{}36272957
1009427{}352082{}20110701 003451{}d{}36227895
1002789{}347206{}20110701 003454{}d{}36107285
1000719{}345777{}20110701 003508{}d{}36172759
1001733{}346568{}20110701 003515{}v{}361538
1008234{}351110{}20110701 003518{}d{}36233244
1010875{}345631{}20110701 003520{}d{}36207983
1005454{}348935{}20110701 003523{}d{}36199708
1008480{}351318{}20110701 003530{}d{}36233232
1006704{}349899{}20110701 003535{}d{}36186606
1005995{}349341{}20110701 003608{}d{}36156047
1010309{}352801{}20110701 003608{}d{}36233225
1008604{}351419{}20110701 003624{}v{}362513
1004740{}348420{}20110701 003658{}d{}36192456
1001008{}346004{}20110701 003730{}d{}36169895
1000349{}345557{}20110701 003731{}v{}36109
1007083{}350176{}20110701 003734{}d{}36184139
1002331{}346939{}20110701 003737{}v{}361538
1006162{}349467{}20110701 003740{}d{}36184332
1007255{}350176{}20110701 003740{}d{}36184137
1007441{}350422{}20110701 003747{}d{}36195780
1008732{}351522{}20110701 003755{}d{}36230994
1009151{}351848{}20110701 003800{}d{}36279427
1010566{}353017{}20110701 003829{}d{}36233222
1011114{}353473{}20110701 003830{}d{}36227685
1006881{}350021{}20110701 003845{}d{}36194658
1003543{}347761{}20110701 003853{}d{}36169948
1007395{}350422{}20110701 003859{}d{}36196070
1000953{}345957{}20110701 003905{}d{}36155389
1010489{}352953{}20110701 003908{}d{}36236898
1005918{}349281{}20110701 003910{}d{}36139159
1011061{}353425{}20110701 003912{}d{}36227685
1006781{}349947{}20110701 003917{}d{}36194657
1006595{}349811{}20110701 003938{}d{}36186597
1008574{}351397{}20110701 004027{}v{}362513
1004398{}348183{}20110701 004042{}d{}36178949
1005613{}349057{}20110701 004048{}d{}36151536
1009970{}352536{}20110701 004053{}d{}36272959
1009181{}351876{}20110701 004059{}d{}36279428
1008909{}351656{}20110701 004109{}d{}36270987
1007696{}350638{}20110701 004129{}v{}36241
1003550{}347768{}20110701 004141{}d{}36163783
1009719{}352326{}20110701 004141{}d{}36280292
1011034{}353399{}20110701 004147{}d{}36223155
1005714{}349129{}20110701 004213{}d{}36176468
1003536{}347758{}20110701 004218{}d{}36169946
1003455{}347699{}20110701 004229{}d{}36184970
1011129{}353399{}20110701 004231{}d{}36223170
1010064{}352608{}20110701 004247{}d{}36272957
1007211{}350288{}20110701 004250{}d{}36184138
1000590{}345676{}20110701 004301{}v{}361345
1004713{}348420{}20110701 004319{}d{}36192457
1003404{}347660{}20110701 004324{}d{}36169498
1007674{}350619{}20110701 004351{}v{}362307
1010349{}352834{}20110701 004400{}d{}36233220
1004779{}348457{}20110701 004402{}d{}36198097
1010038{}352586{}20110701 004425{}d{}36272968
1009668{}352280{}20110701 004432{}d{}36280292
1000683{}345744{}20110701 004439{}d{}36172760
1006938{}350063{}20110701 004448{}d{}36194633
1007676{}350619{}20110701 004448{}v{}362307
1008657{}351459{}20110701 004451{}v{}362513
1010361{}352844{}20110701 004504{}d{}36233220
1003526{}347750{}20110701 004511{}d{}36134369
1005047{}348659{}20110701 004537{}d{}36177742
1005309{}348833{}20110701 004554{}d{}36150815
1009150{}351847{}20110701 004604{}d{}36279427
1007126{}350213{}20110701 004623{}d{}36184137
1007672{}350619{}20110701 004628{}v{}362307
1008030{}350929{}20110701 004630{}d{}36211694
1002053{}346757{}20110701 004647{}v{}361538
1000903{}345918{}20110701 004653{}v{}361415
1008919{}351664{}20110701 004703{}d{}36270987
1010851{}351063{}20110701 004739{}d{}36207983
1001400{}346050{}20110701 004824{}v{}361538
1001401{}346053{}20110701 004827{}v{}361538
1001066{}346053{}20110701 004903{}v{}361538
1005990{}349336{}20110701 004934{}d{}36159558
1006782{}349948{}20110701 004940{}d{}36194658
1010128{}352608{}20110701 004947{}d{}36272957
1010718{}353144{}20110701 004948{}d{}36253968
1006152{}349458{}20110701 004950{}d{}36182710
1002332{}346327{}20110701 005005{}v{}361538
1001067{}346054{}20110701 005022{}v{}361538
1001402{}346327{}20110701 005032{}v{}361538
1000752{}345806{}20110701 005057{}d{}36172759
1006919{}350046{}20110701 005115{}d{}36194643
1011126{}353483{}20110701 005120{}d{}36267949
1009602{}352226{}20110701 005131{}d{}36280294
1000397{}345591{}20110701 005136{}v{}361
1003428{}347679{}20110701 005147{}d{}36117616
1004054{}348007{}20110701 005156{}d{}36179411
1010452{}352924{}20110701 005203{}d{}36233221
1006705{}349899{}20110701 005241{}d{}36186606
1000398{}345591{}20110701 005252{}v{}361
1005235{}348792{}20110701 005258{}d{}36192713
1005236{}348792{}20110701 005259{}d{}36192713
1002054{}346569{}20110701 005302{}v{}361538
1007256{}350319{}20110701 005309{}d{}36184139
1011214{}353561{}20110701 005310{}d{}36227692
1001734{}346569{}20110701 005311{}v{}361538
1006038{}349371{}20110701 005341{}d{}36168663
1001068{}346055{}20110701 005345{}v{}361538
1006911{}350042{}20110701 005410{}d{}36197534
1005095{}348598{}20110701 005443{}d{}36177743
1006978{}350098{}20110701 005443{}d{}36194644
1001403{}346328{}20110701 005453{}v{}361538
1008698{}351491{}20110701 005457{}d{}36271993
1002333{}346940{}20110701 005517{}v{}361538
1004055{}348007{}20110701 005523{}d{}36179411
1004956{}348598{}20110701 005526{}d{}36177742
1010622{}353063{}20110701 005542{}d{}36233222
1005096{}348598{}20110701 005601{}d{}36177743
1003544{}347762{}20110701 005603{}d{}36169948
1010892{}353284{}20110701 005613{}d{}36207982
1001404{}346329{}20110701 005619{}d{}36135018
1003132{}347469{}20110701 005712{}d{}36107285
1008632{}351443{}20110701 005726{}v{}362513
1008224{}351102{}20110701 005730{}d{}36215651
1004889{}348537{}20110701 005732{}d{}36175796
1003462{}347703{}20110701 005756{}d{}36197489
1008894{}351647{}20110701 005802{}d{}36270989
1008635{}351446{}20110701 005805{}v{}362513
1000720{}345778{}20110701 005828{}d{}36172758
1002921{}347309{}20110701 005835{}d{}36107285
1004431{}348215{}20110701 005901{}d{}36178951
1009603{}352227{}20110701 005943{}d{}36280293
1010534{}352991{}20110701 005957{}d{}36233220
1006019{}349359{}20110701 010001{}d{}36164978
1010480{}352823{}20110701 010003{}d{}36233220
1009774{}352372{}20110701 010027{}d{}36280292
1008588{}351397{}20110701 010040{}v{}362513
1007680{}350623{}20110701 010106{}v{}362691
1004457{}348234{}20110701 010137{}d{}36166531
1008426{}351279{}20110701 010228{}d{}36233232
1005003{}348630{}20110701 010232{}d{}36177742
1008923{}351667{}20110701 010245{}d{}36270987
1010961{}353340{}20110701 010248{}d{}36207982
1008403{}351260{}20110701 010315{}d{}36233248
1009501{}352144{}20110701 010325{}d{}36227897
1010062{}352606{}20110701 010326{}d{}36272959
1010652{}353090{}20110701 010339{}d{}36222799
1009918{}352494{}20110701 010354{}d{}36272968
1005989{}349335{}20110701 010400{}d{}36164313
1007921{}350838{}20110701 010410{}d{}36211695
1003766{}347309{}20110701 010419{}d{}36122108
1009508{}352148{}20110701 010429{}d{}36280294
1010338{}352823{}20110701 010445{}d{}36233220
1005253{}348802{}20110701 010504{}d{}36133426
1006087{}349409{}20110701 010511{}d{}36123740
1005839{}349230{}20110701 010518{}d{}36157671
1006506{}349748{}20110701 010522{}d{}36194267
1010802{}353212{}20110701 010542{}d{}36223047
1000338{}345549{}20110701 010549{}v{}36109
1009760{}352360{}20110701 010634{}d{}36280293
1004714{}348421{}20110701 010659{}d{}36192456
1009780{}352377{}20110701 010838{}d{}36208230
1010473{}352943{}20110701 010843{}d{}36233222
1004865{}348521{}20110701 010858{}d{}36171119
1008804{}351585{}20110701 010905{}d{}36270989
1004885{}348535{}20110701 010911{}d{}36174993
1005791{}349191{}20110701 010922{}d{}36183806
1005919{}349262{}20110701 010946{}d{}36139159
1001040{}346033{}20110701 010954{}d{}36196290
1009182{}351877{}20110701 010955{}d{}36279427
1010671{}353103{}20110701 010957{}d{}36222797
1010184{}352694{}20110701 011009{}d{}36233927
1005782{}349182{}20110701 011025{}d{}36183807
1010588{}353035{}20110701 011035{}d{}36233221
1006050{}349378{}20110701 011123{}d{}36123739
1000399{}345592{}20110701 011142{}v{}361
1003560{}347778{}20110701 011144{}d{}36136414
1007212{}350289{}20110701 011155{}d{}36184137
1001736{}346056{}20110701 011156{}v{}361538
1000721{}345779{}20110701 011158{}d{}36172760
1007557{}350533{}20110701 011219{}d{}36195778
1008313{}351179{}20110701 011223{}d{}36212120
1009950{}352520{}20110701 011226{}d{}36272957
1000504{}345592{}20110701 011232{}v{}361
1003276{}347574{}20110701 011239{}d{}36124201
1004815{}348458{}20110701 011248{}d{}36198098
1000821{}345861{}20110701 011307{}v{}361418
1005510{}348982{}20110701 011341{}d{}36151536
1009622{}352245{}20110701 011406{}d{}36280294
1007922{}350839{}20110701 011424{}d{}36211694
1005048{}348599{}20110701 011429{}d{}36177743
1008434{}351286{}20110701 011448{}d{}36233233
1004957{}348599{}20110701 011454{}d{}36177742
1004797{}348470{}20110701 011459{}d{}36198096
1010512{}352974{}20110701 011507{}d{}36233220
1004893{}348541{}20110701 011511{}d{}36172098
1007310{}350362{}20110701 011531{}d{}36127164
1001737{}346570{}20110701 011535{}v{}361538
1010654{}353092{}20110701 011553{}d{}36222797
1007213{}350290{}20110701 011651{}d{}36184139
1009915{}352491{}20110701 011651{}d{}36272958
1005459{}348939{}20110701 011712{}d{}36199708
1009933{}352505{}20110701 011732{}d{}36272959
1006539{}349772{}20110701 011737{}d{}36198188
1009364{}352030{}20110701 011743{}d{}36227897
1008174{}351057{}20110701 011746{}d{}36215652
1000753{}345807{}20110701 011806{}d{}36172759
1003038{}347402{}20110701 011813{}d{}36107285
1001405{}346330{}20110701 011821{}v{}361538
1001069{}346056{}20110701 011930{}v{}361538
1003565{}347782{}20110701 011944{}d{}36163553
1011228{}353571{}20110701 011956{}d{}36227690
1000936{}345943{}20110701 012004{}d{}36155388
1010458{}350214{}20110701 012005{}d{}36233220
1000625{}345704{}20110701 012006{}d{}36162967
1004780{}348458{}20110701 012016{}d{}36198098
1005955{}349310{}20110701 012022{}d{}36167433
1005968{}349310{}20110701 012024{}d{}36167433
1001070{}346057{}20110701 012033{}v{}361538
1005958{}349310{}20110701 012035{}d{}36167433
1006214{}349513{}20110701 012102{}d{}36184332
1006260{}349548{}20110701 012118{}d{}36184332
1009631{}348377{}20110701 012121{}d{}36280293
1006261{}349468{}20110701 012152{}d{}36184333
1003583{}347402{}20110701 012233{}d{}36122108
1010817{}353225{}20110701 012243{}d{}36208720
1000862{}345894{}20110701 012313{}v{}361726
1010537{}352994{}20110701 012313{}d{}36233220
1010416{}352892{}20110701 012323{}d{}36236898
1008016{}350919{}20110701 012332{}d{}36211695
1005891{}349262{}20110701 012338{}d{}36139159
1007684{}350627{}20110701 012340{}v{}362691
1005664{}349091{}20110701 012359{}d{}36176470
1007046{}350146{}20110701 012406{}d{}36194632
1004913{}348557{}20110701 012409{}d{}36150296
1008170{}351053{}20110701 012410{}d{}36215652
1002689{}347118{}20110701 012412{}d{}36107285
1009152{}351849{}20110701 012504{}d{}36279429
1001738{}346571{}20110701 012538{}v{}361538
1010515{}352976{}20110701 012600{}d{}36233220
1010745{}349749{}20110701 012606{}d{}36253969
1010598{}353043{}20110701 012622{}d{}36233220
1002055{}346758{}20110701 012637{}v{}361538
1007769{}350707{}20110701 012659{}d{}36211694
1009842{}352432{}20110701 012740{}d{}36272957
1006561{}349789{}20110701 012747{}d{}36198189
1008869{}351633{}20110701 012755{}d{}36270987
1009184{}351879{}20110701 012808{}d{}36279427
1001072{}346058{}20110701 012811{}v{}361538
1001406{}346331{}20110701 012837{}v{}361538
1010417{}351306{}20110701 012848{}d{}36233220
1011109{}353468{}20110701 012857{}d{}36227685
1007127{}350214{}20110701 012859{}d{}36184137
1010034{}352550{}20110701 012919{}d{}36272958
1011131{}353487{}20110701 012938{}d{}36234414
1004315{}347309{}20110701 012942{}d{}36109868
1005547{}348983{}20110701 013030{}d{}36134964
1005511{}348983{}20110701 013035{}d{}36134963
1001073{}346059{}20110701 013040{}v{}361538
1005840{}349231{}20110701 013056{}d{}36176374
1006163{}349468{}20110701 013107{}d{}36184333
1002335{}346941{}20110701 013133{}v{}361538
1009645{}352262{}20110701 013152{}d{}36280294
1000536{}345660{}20110701 013156{}v{}361
1000537{}345660{}20110701 013203{}v{}361
1009647{}352262{}20110701 013237{}d{}36280294
1000467{}345631{}20110701 013239{}v{}361
1001407{}346332{}20110701 013307{}v{}361538
1007214{}350291{}20110701 013323{}d{}36184137
1007009{}350049{}20110701 013325{}d{}36195726
1000538{}345631{}20110701 013408{}v{}361
1007128{}350215{}20110701 013423{}d{}36184138
1009049{}351762{}20110701 013430{}d{}36297064
1004595{}348336{}20110701 013438{}d{}36195658
1004919{}348563{}20110701 013439{}d{}36177742
1006634{}349843{}20110701 013441{}d{}36186606
1010585{}353032{}20110701 013451{}d{}36233220
1002336{}346942{}20110701 013503{}v{}361538
1008842{}351610{}20110701 013539{}d{}36270987
1009318{}351991{}20110701 013547{}d{}36227897
1004432{}348216{}20110701 013617{}d{}36178951
1008463{}351306{}20110701 013722{}d{}36233232
1002056{}346759{}20110701 013745{}v{}361538
1009829{}352419{}20110701 013758{}d{}36272968
1002057{}346759{}20110701 013804{}v{}361538
1004458{}348235{}20110701 013824{}d{}36178949
1004904{}348549{}20110701 013825{}d{}36150297
1008000{}350905{}20110701 013825{}d{}36211694
1008270{}351143{}20110701 013906{}d{}36233244
1001739{}346572{}20110701 013917{}v{}361538
1009972{}352537{}20110701 013942{}d{}36272023
1002922{}347310{}20110701 014027{}d{}36107285
1002923{}347311{}20110701 014028{}d{}36107287
1006406{}349659{}20110701 014058{}d{}36183915
1009828{}352418{}20110701 014108{}d{}36272959
1006100{}349400{}20110701 014118{}d{}36123741
1006540{}349773{}20110701 014150{}d{}36193865
1001075{}346060{}20110701 014156{}v{}361538
1006215{}349514{}20110701 014218{}d{}36184334
1003530{}347754{}20110701 014234{}d{}36169946
1002058{}346760{}20110701 014327{}v{}361538
1004833{}348499{}20110701 014440{}d{}36198098
1005473{}348951{}20110701 014540{}d{}36151535
1005948{}349303{}20110701 014545{}d{}36131360
1006074{}349400{}20110701 014658{}d{}36123741
1002337{}346943{}20110701 014712{}v{}361538
1009255{}351937{}20110701 014720{}d{}36208477
1005548{}349014{}20110701 014833{}d{}36151535
1002059{}346761{}20110701 014932{}v{}361538
1007047{}350147{}20110701 015008{}d{}36194634
1011166{}353517{}20110701 015122{}d{}36254243
1006436{}347754{}20110701 015212{}d{}36194267
1010250{}352750{}20110701 015217{}d{}36297892
